language,model,iteration,n_classes,class_strict_pass,class_partial_pass,class_strict_pct,class_partial_pct
chinese,claude,0,100,11,40,11.0,40.0
chinese,claude,1,100,11,41,11.0,41.0
chinese,claude,2,100,11,47,11.0,47.0
chinese,claude,3,100,11,47,11.0,47.0
chinese,claude,4,100,11,47,11.0,47.0
chinese,claude,5,100,12,46,12.0,46.0
chinese,claude,6,100,11,45,11.0,45.0
chinese,claude,7,100,11,49,11.0,49.0
chinese,claude,8,100,12,46,12.0,46.0
chinese,claude,9,100,12,46,12.0,46.0
chinese,deepseek,0,100,45,77,45.0,77.0
chinese,gpt,0,100,36,74,36.0,74.0
english,claude,0,100,13,48,13.0,48.0
english,claude,1,100,13,48,13.0,48.0
english,claude,2,100,13,49,13.0,49.0
english,claude,3,100,13,47,13.0,47.0
english,claude,4,100,13,48,13.0,48.0
english,claude,5,100,13,47,13.0,47.0
english,claude,6,100,12,47,12.0,47.0
english,claude,7,100,13,47,13.0,47.0
english,claude,8,100,12,46,12.0,46.0
english,claude,9,100,13,47,13.0,47.0
english,deepseek,0,100,41,79,41.0,79.0
english,gpt,0,100,37,75,37.0,75.0
hindi,claude,0,100,10,46,10.0,46.0
hindi,claude,1,100,10,43,10.0,43.0
hindi,claude,2,100,10,46,10.0,46.0
hindi,claude,3,100,10,45,10.0,45.0
hindi,claude,4,100,10,46,10.0,46.0
hindi,claude,5,100,10,43,10.0,43.0
hindi,claude,6,100,11,45,11.0,45.0
hindi,claude,7,100,10,46,10.0,46.0
hindi,claude,8,100,10,45,10.0,45.0
hindi,claude,9,100,11,46,11.0,46.0
hindi,deepseek,0,100,39,76,39.0,76.0
hindi,gpt,0,100,38,76,38.0,76.0
italian,claude,0,100,8,42,8.0,42.0
italian,claude,1,100,9,43,9.0,43.0
italian,claude,2,100,8,42,8.0,42.0
italian,claude,3,100,8,44,8.0,44.0
italian,claude,4,100,9,44,9.0,44.0
italian,claude,5,100,8,41,8.0,41.0
italian,claude,6,100,8,43,8.0,43.0
italian,claude,7,100,8,42,8.0,42.0
italian,claude,8,100,9,44,9.0,44.0
italian,claude,9,100,8,46,8.0,46.0
italian,deepseek,0,100,38,77,38.0,77.0
italian,gpt,0,100,33,76,33.0,76.0
spanish,claude,0,100,10,39,10.0,39.0
spanish,claude,1,100,10,41,10.0,41.0
spanish,claude,2,100,11,41,11.0,41.0
spanish,claude,3,100,11,42,11.0,42.0
spanish,claude,4,100,11,41,11.0,41.0
spanish,claude,5,100,11,41,11.0,41.0
spanish,claude,6,100,11,41,11.0,41.0
spanish,claude,7,100,8,40,8.0,40.0
spanish,claude,8,100,10,40,10.0,40.0
spanish,claude,9,100,10,40,10.0,40.0
spanish,deepseek,0,100,36,79,36.0,79.0
spanish,gpt,0,100,34,72,34.0,72.0
