language,model,k_samples,n,fun_success,fun_partial_success,class_success,class_partial_success
english,gpt,1,1,0.7317,0.8927,0.37,0.75
chinese,gpt,1,1,0.7317,0.9,0.36,0.8
hindi,gpt,1,1,0.7317,0.8878,0.38,0.77
spanish,gpt,1,1,0.7244,0.8854,0.34,0.74
italian,gpt,1,1,0.7171,0.8878,0.33,0.76
english,deepseek,1,1,0.7683,0.9024,0.41,0.79
chinese,deepseek,1,1,0.7756,0.9024,0.45,0.79
hindi,deepseek,1,1,0.7537,0.8976,0.39,0.77
spanish,deepseek,1,1,0.7439,0.9,0.36,0.78
italian,deepseek,1,1,0.7512,0.8976,0.38,0.78
english,claude,10,1,0.5512,0.7863,0.128,0.519
english,claude,10,3,0.559,0.7969,0.13,0.5321
english,claude,10,5,0.5626,0.8003,0.13,0.5369
english,claude,10,10,0.5659,0.8024,0.13,0.54
chinese,claude,10,1,0.5312,0.7598,0.113,0.477
chinese,claude,10,3,0.5518,0.7806,0.1224,0.5085
chinese,claude,10,5,0.5583,0.7866,0.1269,0.5205
chinese,claude,10,10,0.5634,0.7927,0.13,0.54
hindi,claude,10,1,0.5312,0.7654,0.102,0.49
hindi,claude,10,3,0.5376,0.7696,0.1053,0.4953
hindi,claude,10,5,0.5407,0.7712,0.1078,0.4978
hindi,claude,10,10,0.5463,0.7732,0.11,0.5
spanish,claude,10,1,0.5134,0.7417,0.103,0.454
spanish,claude,10,3,0.5268,0.7526,0.1172,0.4727
spanish,claude,10,5,0.5297,0.7563,0.1197,0.4792
spanish,claude,10,10,0.5317,0.761,0.12,0.49
italian,claude,10,1,0.5246,0.7451,0.083,0.467
italian,claude,10,3,0.538,0.7542,0.0883,0.4763
italian,claude,10,5,0.5436,0.7568,0.0928,0.4791
italian,claude,10,10,0.5488,0.7585,0.1,0.48
